pmid,supp_up,bc,tfidf,supp_down
38256630,1,0.047335586543493256,0.0,1
39393218,1,0.045973449769484746,0.0,1
32033429,1,0.04545976381693617,0.0,1
36414716,1,0.04527900857298883,0.0,1
37183140,1,0.04517827650477982,0.0,1
36552962,1,0.04482393161030992,0.0,1
32979897,1,0.04404432550251008,0.0,1
40337204,1,0.04404432550251008,0.0,1
32673928,1,0.043973305313063524,0.0,1
33014844,1,0.043973305313063524,0.0,1
32689770,1,0.04383021367904992,0.0,1
29246587,1,0.04330403201402872,0.0,1
34386425,1,0.04259985448262316,0.0,1
40187195,1,0.04239144834076202,0.0,1
34203959,1,0.04133773546242015,0.0,1
38484948,1,0.04133773546242015,0.0,1
32960673,1,0.04128877448886985,0.0,1
39232912,1,0.04128877448886985,0.0,1
34422634,1,0.04067705512367063,0.0,1
36192204,1,0.03912553515233696,0.0,1
38832881,1,0.03912553515233696,0.0,1
40635985,1,0.03836574369644742,0.0,1
35795827,1,0.037752279002151494,0.0,1
37146780,1,0.037117741726310334,0.0,1
35598153,1,0.03697015568764258,0.0,1
36918859,1,0.03651416098510556,0.0,1
31481274,1,0.03539037813331701,0.0,1
40507676,1,0.03539037813331701,0.0,1
37519747,1,0.03486604724886054,0.0,1
36900244,1,0.03436435134838443,0.0,1
39732615,1,0.03436435134838443,0.0,1
38201606,1,0.034309934289147304,0.0,1
38935549,1,0.033883707378584864,0.0,1
37005578,1,0.03388370737858486,0.0,1
37478617,1,0.033422683075142484,0.0,1
36033437,1,0.03322570867620616,0.0,1
33441576,1,0.032604612626947464,0.0,1
35831676,1,0.032604612626947464,0.0,1
37025259,1,0.032604612626947464,0.0,1
39796713,1,0.032579996079363405,0.0,1
38482453,1,0.03201709400736423,0.0,1
32351565,1,0.03194586567885068,0.0,1
31185938,1,0.03169530600109218,0.0,1
37787289,1,0.03146023250179291,0.0,1
37323245,1,0.03114404123561247,0.0,1
31813586,1,0.031003301596815115,0.0,1
40282496,1,0.030931451438591946,0.0,1
28441254,1,0.03064896651298983,0.0,1
32173631,1,0.03064896651298983,0.0,1
34106762,1,0.030620574689839055,0.0,1
34306477,1,0.03030650921129078,0.0,1
39399178,1,0.029230193064372908,0.0,1
31416463,1,0.02905503937405045,0.0,1
32650993,1,0.02905503937405045,0.0,1
40427176,1,0.028896122743592698,0.0,1
35504676,1,0.02863695945698702,0.0,1
36453189,1,0.028260965560508014,0.0,1
32381512,1,0.028236422815487383,0.0,1
38531539,1,0.028236422815487383,0.0,1
30686729,1,0.028148793699958572,0.0,1
36172148,1,0.02785223589595207,0.0,1
31500891,1,0.0276659312237701,0.0,1
32085736,1,0.02712867753302301,0.0,1
33361739,1,0.02710696590286789,0.0,1
38152100,1,0.02710696590286789,0.0,1
36386586,1,0.026580566940964927,0.0,1
39061181,1,0.026353994627788223,0.0,1
30371608,1,0.02608369010155797,0.0,1
33388311,1,0.025819410841905414,0.0,1
37643918,1,0.025613675205891383,0.0,1
40380169,1,0.025540805427491525,0.0,1
31437208,1,0.025255424342742316,0.0,1
40068770,1,0.024979400488393366,0.0,1
38824600,1,0.02483732221904011,0.0,1
40551949,1,0.02395939925913801,0.0,1
34992410,1,0.023593585422211343,0.0,1
40615916,1,0.023244031499240363,0.0,1
